work_type_code,work_type_name_ru,family_code,family_name_ru,family_sort,is_active,ui_source
WT-STEEL-WELD-MMA,Сварка ручная дуговая (MMA),metal,Металлоконструкции / ограждения / каркасы,130,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-STEEL-DRILL,Сверление отверстий,metal,Металлоконструкции / ограждения / каркасы,130,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-ROOF-SHINGLE,Кровля: гибкая черепица,roof,Кровля,140,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-ROOF-METAL,Кровля: металл (общ.),roof,Кровля,140,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-ROOF-MTL,Кровля: металлочерепица,roof,Кровля,140,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-ROOF-ROLLED,Кровля: рулонные материалы,roof,Кровля,140,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-ROOF-SANDWICH,Кровля: сэндвич-панели,roof,Кровля,140,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-ROOF-SLATE,Кровля: шифер,roof,Кровля,140,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-STEEL-CANOPY-HIP,Навес вальмовый (металл),roof,Кровля,140,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-STEEL-CANOPY-GABLE,Навес двускатный (металл),roof,Кровля,140,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-STEEL-CANOPY-LEAN,Навес односкатный (металл),roof,Кровля,140,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-ROOF-FRAME-SHINGLE,Обрешётка/каркас под ГЧ,roof,Кровля,140,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-ROOF-FRAME-MTL,Обрешётка/каркас под металл,roof,Кровля,140,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-ROOF-FRAME-SLATE,Обрешётка/каркас под шифер,roof,Кровля,140,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-ROOF-FRAME,Стропильная система / обрешётка (общ.),roof,Кровля,140,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-PLASTER-FACADE,Фасад: утепление и декоративная штукатурка,roof,Кровля,140,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DOOR,Двери (монтаж),doors,Двери,150,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DOOR-SET,Установка двери (комплект),doors,Двери,150,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DELIVERY,Логистика: поставка/рейсы,logist,Логистика,160,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-WASTE,Вывоз мусора/утилизация,waste,Мусор,170,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CLEANING-FINISH,Клининг после ремонта,waste,Мусор,170,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
