work_type_code,work_type_name_ru,family_code,family_name_ru,family_sort,is_active,ui_source
WT-FACADE-FC-RIVET,Фасад FC на заклёпке (серия),facade,Фасады,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FACADE-FC-RIVET-10,"Фасад FC на заклёпке ⌀4,8×10",facade,Фасады,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FACADE-FC-RIVET-12,"Фасад FC на заклёпке ⌀4,8×12",facade,Фасады,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FACADE-FC-RIVET-8,"Фасад FC на заклёпке ⌀4,8×8",facade,Фасады,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FACADE-HPL-LSTK,Фасад HPL (LSTK-набор),facade,Фасады,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FACADE-HPL,Фасад навесной: HPL панели,facade,Фасады,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FACADE-ACP,Фасад навесной: алюкобонд/ACP,facade,Фасады,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FACADE-STONE,Фасад навесной: камень,facade,Фасады,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FACADE-PORC,Фасад навесной: керамогранит,facade,Фасады,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FACADE-CLINKER-VF,Фасад навесной: клинкерная плитка,facade,Фасады,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FACADE-FCB,Фасад навесной: фиброцементные плиты,facade,Фасады,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FACADE-WET-SYSTEM,Фасад: «мокрый» (ETICS),facade,Фасады,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FACADE-PORCELAIN-VENT,Фасад: керамогранит (вент),facade,Фасады,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FACADE-CASSETTE-INSTALL,Фасад: металлокассеты (вент),facade,Фасады,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FACADE-HPL-INSTALL,Фасад: монтаж HPL-панелей,facade,Фасады,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FACADE-FC-H-10,Фиброцементный фасад (H-профиль) 10 мм,facade,Фасады,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FACADE-FC-H-12,Фиброцементный фасад (H-профиль) 12 мм,facade,Фасады,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FACADE-FC-H-8,Фиброцементный фасад (H-профиль) 8 мм,facade,Фасады,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CONCRETE-STRIP-PRO,"Фундамент ленточный (бетон, PRO)",concrete,Бетон,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FND-MKD,Фундамент многоэтажного дома (ленточный/монолитный),concrete,Бетон,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CONCRETE-SLAB-PRO,"Фундамент плита (бетон, PRO)",concrete,Бетон,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-BLOCK,Кладка блоков,masonry,Кладка,30,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-MASONRY-BLOCK,Кладка блоков (газоблок),masonry,Кладка,30,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-MASONRY-BRICK,Кладка кирпича,masonry,Кладка,30,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-MASONRY-BRICK-CLINKER,Кладка облицовочная: кирпич клинкер,masonry,Кладка,30,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-GKL-CEIL-PRO,ГКЛ потолок (PRO),gkl,ГКЛ,40,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-GKL-WALL,ГКЛ стены/перегородки,gkl,ГКЛ,40,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-GKL-WALL-PRO,ГКЛ стены/перегородки (PRO),gkl,ГКЛ,40,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-GKL,Монтаж ГКЛ/каркаса,gkl,ГКЛ,40,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CEIL-CLIPIN,Потолок Clip-in (скрытая подвеска),ceil,Потолки,50,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CEIL-CLIPIN-300x1200,Потолок Clip-in 300×1200,ceil,Потолки,50,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CEIL-CLIPIN-600,Потолок Clip-in 600×600,ceil,Потолки,50,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CEIL-ARMSTRONG-600,Потолок Армстронг 600×600,ceil,Потолки,50,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CEIL-GKL-2L,Потолок ГКЛ двухуровневый,ceil,Потолки,50,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CEIL-GKL-BOX,Потолок ГКЛ короб/ниша,ceil,Потолки,50,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CEIL-GKL-1L,Потолок ГКЛ одноуровневый,ceil,Потолки,50,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
