group_id,work_type_count,work_type_codes,basis_key_count,basis_keys,group_status
G-007,1,WT-CONC,10,area_m2 | backfill_m3 | count | excavation_m3 | formwork_m2 | pump_m3 | rebar_kg | subconcrete_m3 | volume_m3 | waterproof_m2,UNIQUE_TEMPLATE
G-009,1,WT-CONCRETE-STRIP,5,count | height_m | length_m | perimeter_m | volume_m3,UNIQUE_TEMPLATE
G-010,1,WT-CONCRETE-BEAM,3,area_m2 | count | volume_m3,UNIQUE_TEMPLATE
G-011,1,WT-CONCRETE-SLAB,5,area_m2 | count | height_m | perimeter_m | volume_m3,UNIQUE_TEMPLATE
G-013,1,WT-CONCRETE-STRIP-PRO,4,height_m | length_m | perimeter_m | volume_m3,UNIQUE_TEMPLATE
G-014,1,WT-BLOCK,6,area_m2 | count | height_m | length_m | perimeter_m | points,UNIQUE_TEMPLATE
G-018,1,WT-CEIL-STRETCH,3,area_m2 | perimeter_m | points,UNIQUE_TEMPLATE
G-019,1,WT-EXT-ASPHALT-PRO,3,area_m2 | base_mix_mass_t | finish_mix_mass_t,UNIQUE_TEMPLATE
G-021,1,com_fitout,3,area_ceiling_m2 | area_m2 | area_wall_m2,UNIQUE_TEMPLATE
G-023,1,WT-CONCRETE-FLOOR,3,area_m2 | perimeter_m | volume_m3,UNIQUE_TEMPLATE
G-024,1,WT-FLOOR-LAMINATE,3,area_m2 | count | perimeter_m,UNIQUE_TEMPLATE
G-025,1,WT-PLINTH,1,perimeter_m,UNIQUE_TEMPLATE
G-026,1,WT-FLR-HEAT-WATER,2,area_m2 | pipe_length_m,UNIQUE_TEMPLATE
G-028,1,res_electrica,5,count | length_m | points_light | points_outlet | points_switch,UNIQUE_TEMPLATE
G-029,1,com_mep_electrica,5,points | points_light | points_low | points_panel | points_socket,UNIQUE_TEMPLATE
G-030,1,WT-ELEC-SWITCH,2,count | points_switch,UNIQUE_TEMPLATE
G-032,1,WT-ELEC-OUTLET,2,count | points_outlet,UNIQUE_TEMPLATE
G-033,1,WT-ELEC-LIGHT,2,count | points_light,UNIQUE_TEMPLATE
G-034,1,com_plumbing,4,points | points_cw | points_hw | points_sw,UNIQUE_TEMPLATE
G-035,1,sanitary,6,count | length_m | points_shower | points_sink | points_wc | points_wm,UNIQUE_TEMPLATE
G-037,1,WT-BATH,4,area_m2 | count | perimeter_m | points,UNIQUE_TEMPLATE
G-039,1,ind_steel,4,area_m2 | length_m | points | weight_ton,UNIQUE_TEMPLATE
G-041,1,WT-STEEL-GATE-OVERHEAD,3,area_m2 | count | points,UNIQUE_TEMPLATE
G-042,1,WT-STEEL-DRILL,2,length_m | points,UNIQUE_TEMPLATE
